Time,Lat,Long,Temp,Prcp,Wvel,Wdir
2020-01-16 00:00:00.0000000,1.79999995,-78.86000061,1.3385824,0.00026847,5.800013,2.5706425
2020-01-16 03:00:00.0000000,1.79999995,-78.86000061,1.823232,0.00019605,4.7180095,2.7706926
2020-01-16 06:00:00.0000000,1.79999995,-78.86000061,2.0136719,0.00032875,4.0855484,2.6746109
2020-01-16 09:00:00.0000000,1.79999995,-78.86000061,2.214162,0.00017662,4.5376797,2.7659607
2020-01-16 12:00:00.0000000,1.79999995,-78.86000061,2.1929424,0.00041204,5.926388,2.878747
2020-01-16 15:00:00.0000000,1.79999995,-78.86000061,2.8009136,0.00027058,5.312872,2.8607242
2020-01-16 18:00:00.0000000,1.79999995,-78.86000061,3.2642212,0.00012669,4.241745,2.7154539
2020-01-16 21:00:00.0000000,1.79999995,-78.86000061,3.301585,8.67e-05,3.1027153,-0.9307204
2020-01-17 00:00:00.0000000,1.79999995,-78.86000061,2.909912,0.00018686,5.5909863,-1.0334393
2020-01-17 03:00:00.0000000,1.79999995,-78.86000061,2.9280293,0.00026182,5.8936005,2.95383
2020-01-17 06:00:00.0000000,1.79999995,-78.86000061,2.8002422,0.00044065,6.5817714,2.8893025
2020-01-17 09:00:00.0000000,1.79999995,-78.86000061,1.6722717,0.00056649,8.656991,2.8017912
2020-01-17 12:00:00.0000000,1.79999995,-78.86000061,2.166504,0.00015677,8.176265,2.660108
2020-01-17 15:00:00.0000000,1.79999995,-78.86000061,2.4300945,0.00013481,9.000592,2.7685401
2020-01-17 18:00:00.0000000,1.79999995,-78.86000061,2.5647786,0.00014653,9.971026,2.9676085
2020-01-17 21:00:00.0000000,1.79999995,-78.86000061,3.1725872,0.00013408,9.898955,2.9395838
2020-01-18 00:00:00.0000000,1.79999995,-78.86000061,3.0724792,0.00038945,9.9351635,2.9669209
2020-01-18 03:00:00.0000000,1.79999995,-78.86000061,2.5279846,0.00039843,10.137865,2.9937754
2020-01-18 06:00:00.0000000,1.79999995,-78.86000061,1.5560507,0.00062994,11.887719,2.9290226
2020-01-18 09:00:00.0000000,1.79999995,-78.86000061,0.9751994,0.00141244,12.416809,2.8910027
2020-01-18 12:00:00.0000000,1.79999995,-78.86000061,0.7405599,0.00145625,10.858554,2.6801589
2020-01-18 15:00:00.0000000,1.79999995,-78.86000061,0.59242755,0.00191622,9.592137,2.7904384
2020-01-18 18:00:00.0000000,1.79999995,-78.86000061,1.1905009,0.00048003,10.531867,3.0076315
2020-01-18 21:00:00.0000000,1.79999995,-78.86000061,1.5563965,5.41e-05,10.776834,-1.0368913
2020-01-19 00:00:00.0000000,1.79999995,-78.86000061,1.9735107,0.00032685,10.459206,-2.9868546
2020-01-19 03:00:00.0000000,1.79999995,-78.86000061,1.7272543,0.00062889,10.5778885,-3.039996
2020-01-19 06:00:00.0000000,1.79999995,-78.86000061,1.01828,0.00049756,9.649018,-1.0197927
2020-01-19 09:00:00.0000000,1.79999995,-78.86000061,1.2672628,0.00038343,10.328136,3.0437148
2020-01-19 12:00:00.0000000,1.79999995,-78.86000061,1.4007874,0.00038903,9.513641,3.071327
