Time,Lat,Long,SST,SSH,SS
2020-10-21 00:00:00.0000000,2,-78.83333588,27.60152,0.31373027,32.088688
2020-10-22 00:00:00.0000000,2,-78.83333588,27.722374,0.3378399,32.085636
2020-10-23 00:00:00.0000000,2,-78.83333588,27.663044,0.32074952,32.074955
2020-10-24 00:00:00.0000000,2,-78.83333588,27.70333,0.30396435,32.07648
2020-10-25 00:00:00.0000000,2,-78.83333588,27.762657,0.29328287,32.08411
2020-10-26 00:00:00.0000000,2,-78.83333588,27.731895,0.2969451,32.085636
2020-10-27 00:00:00.0000000,2,-78.83333588,27.635212,0.30671102,32.097843
2020-10-28 00:00:00.0000000,2,-78.83333588,27.572222,0.3112888,32.142094
2020-10-29 00:00:00.0000000,2,-78.83333588,27.619831,0.29786065,32.155827
2020-10-30 00:00:00.0000000,2,-78.83333588,27.719444,0.29541916,32.168034
2020-10-31 00:00:00.0000000,2,-78.83333588,27.805872,0.29663992,32.181767
2020-11-01 00:00:00.0000000,2,-78.83333588,27.77584,0.2963347,32.181767
2020-11-02 00:00:00.0000000,2,-78.83333588,27.734825,0.2929777,32.183292
2020-11-03 00:00:00.0000000,2,-78.83333588,27.675497,0.28717917,32.219917
2020-11-04 00:00:00.0000000,2,-78.83333588,27.665976,0.28992584,32.253487
2020-11-05 00:00:00.0000000,2,-78.83333588,27.66451,0.31586656,32.253487
2020-11-06 00:00:00.0000000,2,-78.83333588,27.813196,0.35065767,32.216866
2020-11-07 00:00:00.0000000,2,-78.83333588,27.80807,0.33112583,32.19245
2020-11-08 00:00:00.0000000,2,-78.83333588,27.722374,0.3054903,32.183292
2020-11-09 00:00:00.0000000,2,-78.83333588,27.692343,0.2908414,32.17719
2020-11-10 00:00:00.0000000,2,-78.83333588,27.640339,0.26978362,32.175663
2020-11-11 00:00:00.0000000,2,-78.83333588,27.668905,0.2600177,32.174137
2020-11-12 00:00:00.0000000,2,-78.83333588,27.678427,0.24628437,32.163456
2020-11-13 00:00:00.0000000,2,-78.83333588,27.687948,0.26703694,32.1543
2020-11-14 00:00:00.0000000,2,-78.83333588,27.731163,0.28931546,32.134464
2020-11-15 00:00:00.0000000,2,-78.83333588,27.701132,0.30365917,32.12531
2020-11-16 00:00:00.0000000,2,-78.83333588,27.660114,0.30854213,32.12073
2020-11-17 00:00:00.0000000,2,-78.83333588,27.753136,0.31556138,32.105473
2020-11-18 00:00:00.0000000,2,-78.83333588,27.794886,0.33265176,32.087162
2020-11-19 00:00:00.0000000,2,-78.83333588,27.724571,0.33021027,32.062748
2020-11-20 00:00:00.0000000,2,-78.83333588,27.633015,0.3112888,32.04901
2020-11-21 00:00:00.0000000,2,-78.83333588,27.546587,0.30152288,32.04901
2020-11-22 00:00:00.0000000,2,-78.83333588,27.449903,0.2923673,32.06122
